Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),Unit (Unit),2010,2011,2012,2013,2014,2015,2016,2017
Nicaragua,Black skipjack,"Pacific, Southeast",Tonnes - live weight,70,-,-,-,1,1,-,-
Portugal,Red scorpionfish,"Atlantic, Northeast",Tonnes - live weight,33,33,36,27,40,38,41,33
Romania,Atlantic cod,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Seychelles,Swordfish,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Red hake,"Atlantic, Northwest",Tonnes - live weight,124,93,86,22,14,8,3,8
Taiwan Province of China,Swordfish,"Pacific, Southeast",Tonnes - live weight,31,5,48,37,27,7,67,53
South Africa,"Rays, stingrays, mantas nei","Pacific, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
South Africa,Black marlin,"Indian Ocean, Western",Tonnes - live weight,13,7,5,8,4,6,1,4
Spain,White hake,"Atlantic, Northeast",Tonnes - live weight,31,4,10,1,1,2,2,1
Spain,Striped marlin,"Indian Ocean, Western",Tonnes - live weight,17,45,67,90,32,23,34,27
Libya,Common cuttlefish,Mediterranean and Black Sea,Tonnes - live weight,1750 F,1050 F,1230 F,1230 F,860 F,900 F,1040 F,1240 F
Germany,Scup,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Atlantic bumper,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Uruguay,Bastard halibuts nei,"Atlantic, Southwest",Tonnes - live weight,248,90,106,75,67,116,66,-
Portugal,Red gurnard,"Atlantic, Northeast",Tonnes - live weight,115,134,148,113,108,122,106,127
St. Pierre and Miquelon,Picked dogfish,"Atlantic, Northwest",Tonnes - live weight,...,...,...,...,...,...,...,...
Oman,"Rays, stingrays, mantas nei","Indian Ocean, Western",Tonnes - live weight,667,748,1127,1168,923,1218,884,1028
Taiwan Province of China,Bigeye tuna,"Pacific, Southeast",Tonnes - live weight,122,4,154,98,44,24,84,192
Senegal,Black marlin,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Senegal,Yellowfin tuna,"Atlantic, Eastern Central",Tonnes - live weight,1212,1050,1683,1247,612,1883,6850,6243
Seychelles,Bigeye tuna,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Black rockfish,"Pacific, Northeast",Tonnes - live weight,154,124,121,142,164,224,170,178
United States of America,Frogs,"America, North - Inland waters",Tonnes - live weight,1,2,1,1,3,6,3,4
Seychelles,Black marlin,"Indian Ocean, Eastern",Tonnes - live weight,25,22,-,1,35,57,4,13
Spain,Swordfish,"Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,12,0 0
Spain,Striped marlin,"Pacific, Southwest",Tonnes - live weight,25,25,0 0,0 0,55,28,37,9
"Korea, Republic of",Grey rockcod,"Pacific, Antarctic",Tonnes - live weight,-,0 0,-,-,-,-,-,-
Malaysia,Skipjack tuna,"Pacific, Western Central",Tonnes - live weight,5145,6187,5520,9259,4689,5750,3777,...
Lebanon,Round sardinella,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,15,105,141,32
Russian Federation,Greater forkbeard,"Atlantic, Northeast",Tonnes - live weight,3,1,-,1,-,-,-,-
Senegal,Black marlin,"Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,-,-,-,-
Taiwan Province of China,Yellowfin tuna,"Pacific, Southeast",Tonnes - live weight,50,2,46,19,11,1,25,22
Senegal,Bigeye tuna,"Atlantic, Eastern Central",Tonnes - live weight,858,239,230,646,371,1031,1500,1132
Seychelles,Yellowfin tuna,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
"Venezuela, Boliv Rep of",Amberjacks nei,"Atlantic, Western Central",Tonnes - live weight,120 F,209,267,230 F,195,551,166,170 F
Seychelles,Black marlin,"Indian Ocean, Western",Tonnes - live weight,124,169,567,372,518,1079,1036,613
Spain,Striped marlin,"Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,2,0 0,1,2
France,Marine crabs nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Kenya,Nile perch,Africa - Inland waters,Tonnes - live weight,39045,46612,53023,44319,43399,38656,28000 F,17626
Germany,European sprat,"Atlantic, Northeast",Tonnes - live weight,21092,14674,11740,11899,11756,13996,16505,8705
Latvia,River lamprey,Europe - Inland waters,Tonnes - live weight,73,100,88,78,55,39,63,52
Spain,Yellowfin tuna,"Indian Ocean, Eastern",Tonnes - live weight,21,19,7,29,98,112,37,18
Ukraine,Atlantic bumper,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,...
Malaysia,Longtail tuna,"Indian Ocean, Eastern",Tonnes - live weight,14548,13122,13260,10376,7372,5323,6483,1544
Spain,Swordfish,"Pacific, Southwest",Tonnes - live weight,994,1431,2131,1780,1680,1337,1651,902
Sweden,Haddock,"Atlantic, Northeast",Tonnes - live weight,216,327,313,331,373,339,248,295
Spain,Bigeye tuna,"Indian Ocean, Western",Tonnes - live weight,10080,10873,7922,14381,9339,10151,9603,12483
Martinique,Giant river prawn,"America, North - Inland waters",Tonnes - live weight,-,-,-,-,-,-,-,-
Mauritius,Skipjack tuna,"Indian Ocean, Western",Tonnes - live weight,9,19,10,479,3142,2859,3810,8520
Russian Federation,Forkbeards nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
South Africa,Yellowfin tuna,"Atlantic, Southeast",Tonnes - live weight,234,673,598,1180,1916,1431,953,589
United States of America,Bastard halibuts nei,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Seychelles,Swordfish,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Senegal,Atlantic sailfish,"Atlantic, Eastern Central",Tonnes - live weight,484,174,247,165,37,60,586,96
Morocco,Skipjack tuna,"Atlantic, Eastern Central",Tonnes - live weight,2317,2147,2265,2042,1063,572,250,750
Japan,Grey rockcod,"Indian Ocean, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
France,Marine crabs nei,"Atlantic, Northeast",Tonnes - live weight,3,104,39,27,57,20,5,6
Spain,Yellowfin tuna,"Indian Ocean, Western",Tonnes - live weight,45277,52332,57918,68635,58131,52773,51623,54578
Spain,Bigeye tuna,"Indian Ocean, Eastern",Tonnes - live weight,7,24,14,26,144,252,64,16
Italy,Striped venus,Mediterranean and Black Sea,Tonnes - live weight,19748,19668,20028,14598,14118,14660,16283,11809
South Africa,Bigeye tuna,"Atlantic, Southeast",Tonnes - live weight,145,152,491,788,581,350,206,157
Spain,Albacore,"Pacific, Southwest",Tonnes - live weight,13,6,3,3,2,1,2,2
Netherlands,Blue whale,Antarctic areas nei,Number,-,-,-,-,-,-,-,-
Turkey,European flounder,Mediterranean and Black Sea,Tonnes - live weight,104,47,27,81,6,10,9,7
Sierra Leone,Bigeye tuna,"Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
New Zealand,Lanternsharks nei,"Pacific, Southwest",Tonnes - live weight,62,40,36,91,265,250,169,299
Norway,Minke whale,"Atlantic, Northeast",Number,468,533,464,594,736,660,591,432
Spain,Swordfish,"Pacific, Eastern Central",Tonnes - live weight,-,2,5,35,82,1,37,129
Spain,Comber,"Atlantic, Northeast",Tonnes - live weight,369,307,100,75,38,30,36,31
Puerto Rico,Cero,"Atlantic, Western Central",Tonnes - live weight,10,7,7,11,14,14,4,3
Russian Federation,Tusk(=Cusk),"Atlantic, Northeast",Tonnes - live weight,106,61,88,69,84,159,203,192
Malta,Picked dogfish,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,16,28,21,5
Germany,Round sardinella,"Atlantic, Eastern Central",Tonnes - live weight,1619,13903,3815,-,886,457,802,311
"Korea, Republic of",Marine crabs nei,"Pacific, Western Central",Tonnes - live weight,2,-,-,4,-,-,-,-
United Kingdom,European flounder,"Atlantic, Northeast",Tonnes - live weight,240,176,127,115,73,135,115,83
Other nei,Bigeye tuna,"Indian Ocean, Eastern",Tonnes - live weight,637,1009,187,128,88,73,81,-
Lebanon,Sand steenbras,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,254,107,29,18
Portugal,Lowfin gulper shark,"Atlantic, Northeast",Tonnes - live weight,271,588,631,534,...,...,...,-
United States of America,"Rays, stingrays, mantas nei","Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Other nei,Yellowfin tuna,"Indian Ocean, Western",Tonnes - live weight,3811,461,1154,896,411,439,686,-
Saudi Arabia,Longtail tuna,"Indian Ocean, Western",Tonnes - live weight,222,230,218,267,270,289,301,301
Spain,Thresher,"Atlantic, Eastern Central",Tonnes - live weight,0 0,-,-,-,-,-,-,-
Thailand,Bigeye scad,"Pacific, Western Central",Tonnes - live weight,14356,14554,12491,14149,15047,14762,12165,13750
Ukraine,"Rays, stingrays, mantas nei","Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,"Rays, stingrays, mantas nei","Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
France,Common cuttlefish,"Atlantic, Northeast",Tonnes - live weight,11922,12966,13217,10367,7505,10834,9230,8308
Germany,Madeiran sardinella,"Atlantic, Eastern Central",Tonnes - live weight,-,206,-,-,56,56,98,-
Italy,European lobster,Mediterranean and Black Sea,Tonnes - live weight,20,17,15,18,16,14,18,16
Malta,Gulper shark,Mediterranean and Black Sea,Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
New Zealand,Blue antimora,"Pacific, Antarctic",Tonnes - live weight,1,3,2,3,2,1,3,1
Spain,Brazilian codling,"Atlantic, Southwest",Tonnes - live weight,954,110,6,-,-,-,-,-
Other nei,Bigeye tuna,"Indian Ocean, Western",Tonnes - live weight,1023,1259,5826,2877,987,942,1030,-
Spain,Forkbeard,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,23,18,59,46,47
United Arab Emirates,Golden trevally,"Indian Ocean, Western",Tonnes - live weight,421,397,539,1110 F,1684,1680,1680 F,1680 F
United Kingdom,Lumpfish(=Lumpsucker),"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,0 0
Other nei,Yellowfin tuna,"Indian Ocean, Eastern",Tonnes - live weight,341,413,87,11,6,12,7,-
Uruguay,Southern blue whiting,"Atlantic, Southwest",Tonnes - live weight,0 0,0 0,-,-,-,-,-,-
Uruguay,"Rays, stingrays, mantas nei","Indian Ocean, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of",Longlegged spiny lobster,"Pacific, Northwest",Tonnes - live weight,1093,1151,1303,704,589,615,508,3
Ghana,Round sardinella,"Atlantic, Eastern Central",Tonnes - live weight,36724,21504,24936,25613,20511,23434,26857,46347
Cambodia,Marine crabs nei,"Pacific, Western Central",Tonnes - live weight,4558,4230,5500 F,5700 F,8210,5983,6100 F,6100 F
United States of America,"Rays, stingrays, mantas nei","Pacific, Northeast",Tonnes - live weight,9946,9532,11020,11329,10969,10245,8891,11235
"Korea, Republic of",Marine crabs nei,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Morocco,Greater forkbeard,Mediterranean and Black Sea,Tonnes - live weight,95,81,54,57,27,20,20,39
Netherlands,Tub gurnard,"Atlantic, Northeast",Tonnes - live weight,...,1667,1834,2003,2423,2984,3707,3323
Panama,Black skipjack,"Pacific, Southeast",Tonnes - live weight,-,-,3,42,5,-,14,31 F
Portugal,Lowfin gulper shark,"Atlantic, Eastern Central",Tonnes - live weight,...,2,24,25,...,...,...,-
Spain,Thresher,"Atlantic, Northeast",Tonnes - live weight,0 0,0 0,0 0,-,0 0,-,-,0 0
Palestine,Lizardfishes nei,Mediterranean and Black Sea,Tonnes - live weight,32,16,7,11,47,34,12,19
Un. Sov. Soc. Rep.,Polar cod,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Gambia,Bonga shad,"Atlantic, Eastern Central",Tonnes - live weight,12585,12650 F,12729,13652,16465,12559,15060,28446
Ghana,Madeiran sardinella,"Atlantic, Eastern Central",Tonnes - live weight,11311,10719,9287,6617,4896,6031,2256,4145
Panama,Skipjack tuna,"Pacific, Southeast",Tonnes - live weight,12111,24078,19218,27559,16393,23946,16348,18719 F
Spain,Thresher,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Yemen,Yellowfin tuna,"Indian Ocean, Western",Tonnes - live weight,23263,24891,35669,33726 F,30311 F,24850 F,21100 F,17935 F
Japan,Horned turban,"Pacific, Northwest",Tonnes - live weight,7082,6227,5490,5650,6234,6098,6253,6100
France,Common cuttlefish,Mediterranean and Black Sea,Tonnes - live weight,120,88,94,121,124,120,152,91
"Korea, Republic of",Marine crabs nei,"Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,10,-,-,-
Liberia,Marine crabs nei,"Atlantic, Eastern Central",Tonnes - live weight,50 F,50 F,50 F,50 F,50 F,50 F,50 F,109
Mauritania,Aristeus shrimps nei,"Atlantic, Eastern Central",Tonnes - live weight,...,...,3217,2362,...,...,0 0,0 0
Morocco,Forkbeards nei,"Atlantic, Eastern Central",Tonnes - live weight,402,371,430,483,640,547,568,391
Netherlands,Red gurnard,"Atlantic, Northeast",Tonnes - live weight,251,292,329,267,241,210,224,226
Other nei,Striped marlin,"Indian Ocean, Western",Tonnes - live weight,51,29,311,153,27,19,86,-
Spain,Forkbeard,"Atlantic, Northeast",Tonnes - live weight,4174,5240,2691,174,151,117,63,46
Thailand,Bigeye scad,"Indian Ocean, Eastern",Tonnes - live weight,7963,5359,5842,4323,4346,6749,9605,13590
United States of America,Winter flounder,"Atlantic, Northwest",Tonnes - live weight,1587,2124,2394,2744,1980,1701,1162,1064
Ukraine,Birdbeak dogfish,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Ghana,Bonga shad,"Atlantic, Eastern Central",Tonnes - live weight,643,378,2163,736,656,834,888,219
Germany,Atlantic menhaden,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,2
United States of America,Dover sole,"Pacific, Northeast",Tonnes - live weight,10558,7853,7055,7920,6410,6179,7121,5881
Yemen,Swordfish,"Indian Ocean, Western",Tonnes - live weight,3600,3700,3364,3240,3000,2450 F,2080 F,1768 F
Greece,Greater weever,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,48,41,70,62
Ukraine,"Rays, stingrays, mantas nei","Indian Ocean, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
Other nei,Striped marlin,"Indian Ocean, Eastern",Tonnes - live weight,10,20,3,3,2,2,2,-
Other nei,Shortbill spearfish,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,1,2,2,-
"Korea, Republic of",Marine crabs nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,13,-,-,-
Netherlands,Grey gurnard,"Atlantic, Northeast",Tonnes - live weight,263,317,480,282,256,233,241,343
Norway,Blackbelly rosefish,"Atlantic, Northeast",Tonnes - live weight,-,0 0,0 0,7,3,0 0,0 0,-
Russian Federation,Skipjack tuna,"Atlantic, Eastern Central",Tonnes - live weight,-,20,29,-,2,1,1,16
United States of America,Greenland halibut,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,"Rays, stingrays, mantas nei","Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Ukraine,Southern blue whiting,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Norway,Dogfish sharks nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
France,Black dogfish,"Atlantic, Northeast",Tonnes - live weight,71,0 0,1,0 0,9,0 0,0 0,-
Ireland,European lobster,"Atlantic, Northeast",Tonnes - live weight,476,756,250,374,451,372,138,141
Other nei,Swordfish,"Indian Ocean, Western",Tonnes - live weight,1584,154,858,656,227,219,327,-
"Korea, Republic of",Marine crabs nei,"Pacific, Northwest",Tonnes - live weight,8881,8118,7188,5076,5551,5909,6270,5794
Other nei,Albacore,"Indian Ocean, Eastern",Tonnes - live weight,223,220,85,160,120,114,123,-
Ukraine,European flounder,Mediterranean and Black Sea,Tonnes - live weight,5,2,2,2,2,6,5,7
"Venezuela, Boliv Rep of",Bigeye tuna,"Pacific, Southeast",Tonnes - live weight,182,420,424,747,756,140,210,481 F
Latvia,European sprat,"Atlantic, Northeast",Tonnes - live weight,45851,33441,30719,33310,30761,30501,28103,35744
Spain,Thresher,"Atlantic, Southwest",Tonnes - live weight,...,...,...,...,...,...,...,...
Turkey,Frogs,Asia - Inland waters,Tonnes - live weight,780,750,648,831,742,535,486,547
Un. Sov. Soc. Rep.,Greenland halibut,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
United Kingdom,Southern blue whiting,"Atlantic, Southwest",Tonnes - live weight,1,45,1,163,182,12,14,4
Other nei,Yellowfin tuna,"Pacific, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
United Kingdom,Greenland halibut,"Atlantic, Northeast",Tonnes - live weight,652,407,90,362,359,368,543,231
United States of America,Winter flounder,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Norway,Blue antimora,"Pacific, Antarctic",Tonnes - live weight,-,-,-,0 0,1,0 0,-,0 0
"Korea, Republic of",Abalones nei,"Pacific, Northwest",Tonnes - live weight,235,165,173,124,185,149,96,112
Un. Sov. Soc. Rep.,Southern blue whiting,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Lithuania,Marine crabs nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Norway,Dogfish sharks nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Other nei,Swordfish,"Indian Ocean, Eastern",Tonnes - live weight,277,138,45,27,18,24,19,-
United Kingdom,Greenland halibut,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
"Venezuela, Boliv Rep of","Rays, stingrays, mantas nei","Atlantic, Western Central",Tonnes - live weight,1000 F,1137,1566,1800 F,2009,2184,209,215 F
Other nei,Albacore,"Indian Ocean, Western",Tonnes - live weight,233,230,180,328,201,173,202,-
Peru,Skipjack tuna,"Pacific, Southeast",Tonnes - live weight,2810,4104,3310,4421,10729,8206,12735,13021
"Venezuela, Boliv Rep of",Yellowfin tuna,"Pacific, Southeast",Tonnes - live weight,4881,5427,8646,7801,5189,8393,4591,3212 F
Other nei,Bigeye tuna,"Pacific, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Palestine,Bogue,Mediterranean and Black Sea,Tonnes - live weight,25,14,38,48,30,26,37,30
Romania,Skipjack tuna,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Thresher,Mediterranean and Black Sea,Tonnes - live weight,0 0,0 0,-,-,-,0 0,-,-
Ukraine,"Rays, stingrays, mantas nei","Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Greenland halibut,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Winter flounder,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Saint Lucia,Skipjack tuna,"Atlantic, Western Central",Tonnes - live weight,153,143,109,171,139,87,138,142
Panama,Humpback whale,Antarctic areas nei,Number,-,-,-,-,-,-,-,-
Mayotte,Bigeye tuna,"Indian Ocean, Western",Tonnes - live weight,1445,2082,2513,2794,30,18 F,19 F,19 F
Montenegro,Bogue,Mediterranean and Black Sea,Tonnes - live weight,28,12,16,15,15,15,15,20
Un. Sov. Soc. Rep.,"Rays, stingrays, mantas nei","Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Polar cod,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
United Kingdom,"Angelsharks, sand devils nei","Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,0 0
United States of America,Yellowtail flounder,"Atlantic, Northwest",Tonnes - live weight,1318,1827,1808,1277,1361,968,565,1078
Other nei,Bigeye tuna,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Other nei,Atlantic sailfish,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Belgium,Haddock,"Atlantic, Northeast",Tonnes - live weight,259,335,327,259,206,172,147,146
Other nei,Swordfish,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
United Kingdom,Birdbeak dogfish,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Lithuania,European sprat,"Atlantic, Northeast",Tonnes - live weight,10223,9730,11245,10353,9679,11004,11548,12480
Greece,Striped venus,Mediterranean and Black Sea,Tonnes - live weight,294,138,121,121,118,94,126,66
Madagascar,Marine crabs nei,"Indian Ocean, Western",Tonnes - live weight,2019,3700,2824,3909,4515,4749,2908,6018
Norway,Grey gurnard,"Atlantic, Northeast",Tonnes - live weight,2,1,2,33,56,174,83,176
Un. Sov. Soc. Rep.,"Rays, stingrays, mantas nei",Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Greenland halibut,"Pacific, Northeast",Tonnes - live weight,3910,3553,4621,1394,1397,2084,2156,2733
Mayotte,Yellowfin tuna,"Indian Ocean, Western",Tonnes - live weight,8548,13572,19740,15161,300,180 F,190 F,190 F
United Kingdom,"Rays, stingrays, mantas nei","Atlantic, Southwest",Tonnes - live weight,71,71,35,23,13,24,38,8
Other nei,Albacore,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Ukraine,Yellowtail flounder,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Ukraine,"Rays, stingrays, mantas nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,...
United States of America,"Rays, stingrays, mantas nei","Atlantic, Antarctic",Tonnes - live weight,...,...,...,...,...,...,...,...
Other nei,Atlantic sailfish,"Atlantic, Eastern Central",Tonnes - live weight,265,275,275,275,275,275,-,-
France,Round sardinella,Mediterranean and Black Sea,Tonnes - live weight,3,2,7,35,1,2,1,1
France,Lampreys nei,Europe - Inland waters,Tonnes - live weight,110 F,110,106 F,102,14,18,68,81
New Zealand,Tope shark,"Pacific, Southwest",Tonnes - live weight,3569,3195,3400,3117,3017,3106,2837,3085
South Africa,Thresher,"Atlantic, Southeast",Tonnes - live weight,3,1,1,2,2,-,2,-
Oman,Queenfishes,"Indian Ocean, Western",Tonnes - live weight,2833,3095,4244,2782,3531,3550,3005,3876
Other nei,Black marlin,"Indian Ocean, Eastern",Tonnes - live weight,8,5,2,1,1,1,1,-
Turkey,Leerfish,Mediterranean and Black Sea,Tonnes - live weight,883,586,349,334,174,109,187,212
Un. Sov. Soc. Rep.,Greenland halibut,"Pacific, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Ukraine,"Rays, stingrays, mantas nei","Atlantic, Southwest",Tonnes - live weight,0 0,-,...,...,...,...,...,-
Other nei,Bigeye tuna,"Atlantic, Eastern Central",Tonnes - live weight,324,257,-,-,-,-,-,-
Other nei,Swordfish,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Petrale sole,"Pacific, Northeast",Tonnes - live weight,800,923,1090,2230,2379,2644,2669,2910
Other nei,Yellowfin tuna,"Atlantic, Western Central",Tonnes - live weight,37,-,-,-,-,-,-,-
Iceland,Whelk,"Atlantic, Northeast",Tonnes - live weight,142,512,375,88,91,193,329,160
Croatia,Greater weever,Mediterranean and Black Sea,Tonnes - live weight,1,4,3,35,42,40,44,35
United Kingdom,"Rays, stingrays, mantas nei","Atlantic, Antarctic",Tonnes - live weight,3,3,1,0 0,1,1,2,1
"Korea, Republic of",Marine crabs nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,1012,440,105,511,-
Mauritania,West African Spanish mackerel,"Atlantic, Eastern Central",Tonnes - live weight,187,173,123,82,399,545,529,1447
Netherlands,Dogfish sharks nei,"Atlantic, Northeast",Tonnes - live weight,4,-,3,4,-,0 0,-,-
Ukraine,"Rays, stingrays, mantas nei",Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,27
Un. Sov. Soc. Rep.,"Rays, stingrays, mantas nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Other nei,Yellowfin tuna,"Atlantic, Eastern Central",Tonnes - live weight,857,1601,-,-,-,-,-,-
Réunion,Skipjack tuna,"Indian Ocean, Western",Tonnes - live weight,...,...,6,12,5,8,18,59
Other nei,Albacore,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,Skipjack tuna,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,1,1
Other nei,Black marlin,"Indian Ocean, Western",Tonnes - live weight,44,4,35,16,6,9,20,-
Channel Islands,Haddock,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
South Africa,Natal spiny lobster,"Indian Ocean, Western",Tonnes - live weight,19,23,19,8,5,6,4,10
Montenegro,Gilthead seabream,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,14
United States of America,Flathead sole,"Pacific, Northeast",Tonnes - live weight,21761,14284,11626,18235,17513,11921,11343,10028
Tunisia,Leerfish,Mediterranean and Black Sea,Tonnes - live weight,40,39,62,126,151,327,250,114
United States of America,Albacore,"Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Yellowtail flounder,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Palau,Skipjack tuna,"Pacific, Western Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Gabon,Bonga shad,"Atlantic, Eastern Central",Tonnes - live weight,6600 F,6700 F,6800 F,6900 F,7067,7500 F,6820 F,6140 F
Libya,Salema,Mediterranean and Black Sea,Tonnes - live weight,530 F,320 F,370 F,370 F,260 F,245 F,285 F,340 F
Malta,Forkbeards nei,Mediterranean and Black Sea,Tonnes - live weight,6,6,5,5,6,0 0,0 0,0 0
Romania,Skipjack tuna,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
"Tanzania, United Rep. of",Amberjacks nei,"Indian Ocean, Western",Tonnes - live weight,1328,1275,1262,1332,1562,1791,1637,1524
Togo,Atlantic bumper,"Atlantic, Eastern Central",Tonnes - live weight,832,5,...,...,...,9,263,61
United States of America,"Rays, stingrays, mantas nei","Atlantic, Western Central",Tonnes - live weight,-,1,41,-,2,2,7,46
Other nei,Albacore,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Uruguay,"Rays, stingrays, mantas nei","Atlantic, Antarctic",Tonnes - live weight,0 0,0 0,-,-,1,0 0,0 0,0 0
Other nei,Swordfish,"Atlantic, Western Central",Tonnes - live weight,3,-,-,-,-,-,-,-
United States of America,Yellowfin tuna,"Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Sao Tome and Principe,Skipjack tuna,"Atlantic, Eastern Central",Tonnes - live weight,241,247,254,260,266,360,380,346
Honduras,Patagonian toothfish,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Malta,Greater forkbeard,Mediterranean and Black Sea,Tonnes - live weight,...,3,5,1,1,0 0,0 0,0 0
Namibia,Blackbelly rosefish,"Atlantic, Southeast",Tonnes - live weight,...,...,...,...,...,...,...,...
